timestamp,power
2021-05-02 12:30:00+00:00,0.0
2021-05-02 12:40:00+00:00,0.0
2021-05-02 12:50:00+00:00,0.0
2021-05-02 13:00:00+00:00,844.5
2021-05-02 13:10:00+00:00,382127.5
2021-05-02 13:20:00+00:00,945354.0
2021-05-02 13:30:00+00:00,847725.0
2021-05-02 13:40:00+00:00,52994.0
2021-05-02 13:50:00+00:00,61653.0
2021-05-02 14:00:00+00:00,45873.5
2021-05-02 14:10:00+00:00,183118.0
2021-05-02 14:20:00+00:00,3040.0
2021-05-02 14:30:00+00:00,600.0
2021-05-02 14:40:00+00:00,600.0
2021-05-02 14:50:00+00:00,600.0
2021-05-02 15:00:00+00:00,600.0
2021-05-02 15:10:00+00:00,600.0
2021-05-02 15:20:00+00:00,600.0
2021-05-02 15:30:00+00:00,600.0
2021-05-02 15:40:00+00:00,600.0
2021-05-02 15:50:00+00:00,600.0
2021-05-02 16:00:00+00:00,600.0
2021-05-02 16:10:00+00:00,600.0
2021-05-02 16:20:00+00:00,600.0
2021-05-02 16:30:00+00:00,600.0
2021-05-02 16:40:00+00:00,600.0
2021-05-02 16:50:00+00:00,600.0
2021-05-02 17:00:00+00:00,600.0
2021-05-02 17:10:00+00:00,600.0
2021-05-02 17:20:00+00:00,600.0
2021-05-02 17:30:00+00:00,600.0
2021-05-02 17:40:00+00:00,600.0
2021-05-02 17:50:00+00:00,600.0
2021-05-02 18:00:00+00:00,600.0
2021-05-02 18:10:00+00:00,600.0
2021-05-02 18:20:00+00:00,600.0
2021-05-02 18:30:00+00:00,600.0
2021-05-02 18:40:00+00:00,600.0
2021-05-02 18:50:00+00:00,600.0
2021-05-02 19:00:00+00:00,600.0
2021-05-02 19:10:00+00:00,600.0
2021-05-02 19:20:00+00:00,600.0
2021-05-02 19:30:00+00:00,600.0
2021-05-02 19:40:00+00:00,600.0
2021-05-02 19:50:00+00:00,600.0
2021-05-02 20:00:00+00:00,600.0
2021-05-02 20:10:00+00:00,600.0
2021-05-02 20:20:00+00:00,600.0
2021-05-02 20:30:00+00:00,600.0
2021-05-02 20:40:00+00:00,600.0
2021-05-02 20:50:00+00:00,600.0
2021-05-02 21:00:00+00:00,600.0
2021-05-02 21:10:00+00:00,600.0
2021-05-02 21:20:00+00:00,600.0
2021-05-02 21:30:00+00:00,600.0
2021-05-02 21:40:00+00:00,600.0
2021-05-02 21:50:00+00:00,685.5
2021-05-02 22:00:00+00:00,823.5
2021-05-02 22:10:00+00:00,772.5
2021-05-02 22:20:00+00:00,600.0
2021-05-02 22:30:00+00:00,600.0
2021-05-02 22:40:00+00:00,600.0
2021-05-02 22:50:00+00:00,600.0
2021-05-02 23:00:00+00:00,613.0
2021-05-02 23:10:00+00:00,612.0
2021-05-02 23:20:00+00:00,600.0
2021-05-02 23:30:00+00:00,600.0
2021-05-02 23:40:00+00:00,613.0
2021-05-02 23:50:00+00:00,600.0
2021-05-03 00:00:00+00:00,600.0
2021-05-03 00:10:00+00:00,600.0
2021-05-03 00:20:00+00:00,625.5
2021-05-03 00:30:00+00:00,600.0
2021-05-03 00:40:00+00:00,600.0
2021-05-03 00:50:00+00:00,600.0
2021-05-03 01:00:00+00:00,600.0
2021-05-03 01:10:00+00:00,613.0
2021-05-03 01:20:00+00:00,613.0
2021-05-03 01:30:00+00:00,600.0
2021-05-03 01:40:00+00:00,600.0
2021-05-03 01:50:00+00:00,600.0
2021-05-03 02:00:00+00:00,613.0
2021-05-03 02:10:00+00:00,600.0
2021-05-03 02:20:00+00:00,600.0
2021-05-03 02:30:00+00:00,600.0
2021-05-03 02:40:00+00:00,600.0
2021-05-03 02:50:00+00:00,600.0
2021-05-03 03:00:00+00:00,612.0
2021-05-03 03:10:00+00:00,613.0
2021-05-03 03:20:00+00:00,613.0
2021-05-03 03:30:00+00:00,613.0
2021-05-03 03:40:00+00:00,600.0
2021-05-03 03:50:00+00:00,612.0
2021-05-03 04:00:00+00:00,615.0
2021-05-03 04:10:00+00:00,609.0
2021-05-03 04:20:00+00:00,613.0
2021-05-03 04:30:00+00:00,613.0
2021-05-03 04:40:00+00:00,612.5
2021-05-03 04:50:00+00:00,613.0
2021-05-03 05:00:00+00:00,600.0
2021-05-03 05:10:00+00:00,600.0
2021-05-03 05:20:00+00:00,614.0
2021-05-03 05:30:00+00:00,600.0
2021-05-03 05:40:00+00:00,612.0
2021-05-03 05:50:00+00:00,600.0
2021-05-03 06:00:00+00:00,600.0
2021-05-03 06:10:00+00:00,613.0
2021-05-03 06:20:00+00:00,617.0
2021-05-03 06:30:00+00:00,633.5
2021-05-03 06:40:00+00:00,612.0
2021-05-03 06:50:00+00:00,600.0
2021-05-03 07:00:00+00:00,600.0
2021-05-03 07:10:00+00:00,600.0
2021-05-03 07:20:00+00:00,600.0
2021-05-03 07:30:00+00:00,600.0
2021-05-03 07:40:00+00:00,600.0
2021-05-03 07:50:00+00:00,600.0
2021-05-03 08:00:00+00:00,600.0
2021-05-03 08:10:00+00:00,614.0
2021-05-03 08:20:00+00:00,600.0
2021-05-03 08:30:00+00:00,615.0
2021-05-03 08:40:00+00:00,600.0
2021-05-03 08:50:00+00:00,600.0
2021-05-03 09:00:00+00:00,600.0
2021-05-03 09:10:00+00:00,600.0
2021-05-03 09:20:00+00:00,600.0
2021-05-03 09:30:00+00:00,600.0
2021-05-03 09:40:00+00:00,600.0
2021-05-03 09:50:00+00:00,600.0
2021-05-03 10:00:00+00:00,600.0
2021-05-03 10:10:00+00:00,600.0
2021-05-03 10:20:00+00:00,600.0
2021-05-03 10:30:00+00:00,600.0
2021-05-03 10:40:00+00:00,600.0
2021-05-03 10:50:00+00:00,600.0
2021-05-03 11:00:00+00:00,600.0
2021-05-03 11:10:00+00:00,600.0
2021-05-03 11:20:00+00:00,600.0
2021-05-03 11:30:00+00:00,600.0
2021-05-03 11:40:00+00:00,600.0
2021-05-03 11:50:00+00:00,613.0
2021-05-03 12:00:00+00:00,600.0
2021-05-03 12:10:00+00:00,612.75
2021-05-03 12:20:00+00:00,600.0
2021-05-03 12:30:00+00:00,600.0
2021-05-03 12:40:00+00:00,600.0
2021-05-03 12:50:00+00:00,600.0
2021-05-03 13:00:00+00:00,600.0
2021-05-03 13:10:00+00:00,600.0
2021-05-03 13:20:00+00:00,600.0
2021-05-03 13:30:00+00:00,600.0
2021-05-03 13:40:00+00:00,614.0
2021-05-03 13:50:00+00:00,600.0
2021-05-03 14:00:00+00:00,600.0
2021-05-03 14:10:00+00:00,600.0
2021-05-03 14:20:00+00:00,613.5
2021-05-03 14:30:00+00:00,600.0
2021-05-03 14:40:00+00:00,600.0
2021-05-03 14:50:00+00:00,600.0
2021-05-03 15:00:00+00:00,600.0
2021-05-03 15:10:00+00:00,600.0
2021-05-03 15:20:00+00:00,600.0
2021-05-03 15:30:00+00:00,600.0
2021-05-03 15:40:00+00:00,600.0
2021-05-03 15:50:00+00:00,600.0
2021-05-03 16:00:00+00:00,600.0
2021-05-03 16:10:00+00:00,600.0
2021-05-03 16:20:00+00:00,600.0
2021-05-03 16:30:00+00:00,600.0
2021-05-03 16:40:00+00:00,600.0
2021-05-03 16:50:00+00:00,614.0
2021-05-03 17:00:00+00:00,600.0
2021-05-03 17:10:00+00:00,600.0
2021-05-03 17:20:00+00:00,600.0
2021-05-03 17:30:00+00:00,600.0
2021-05-03 17:40:00+00:00,614.5
2021-05-03 17:50:00+00:00,600.0
2021-05-03 18:00:00+00:00,600.0
2021-05-03 18:10:00+00:00,600.0
2021-05-03 18:20:00+00:00,600.0
2021-05-03 18:30:00+00:00,600.0
2021-05-03 18:40:00+00:00,600.0
2021-05-03 18:50:00+00:00,613.5
2021-05-03 19:00:00+00:00,600.0
2021-05-03 19:10:00+00:00,614.0
2021-05-03 19:20:00+00:00,600.0
2021-05-03 19:30:00+00:00,600.0
2021-05-03 19:40:00+00:00,600.0
2021-05-03 19:50:00+00:00,600.0
2021-05-03 20:00:00+00:00,600.0
2021-05-03 20:10:00+00:00,600.0
2021-05-03 20:20:00+00:00,600.0
2021-05-03 20:30:00+00:00,600.0
2021-05-03 20:40:00+00:00,600.0
2021-05-03 20:50:00+00:00,600.0
2021-05-03 21:00:00+00:00,612.0
2021-05-03 21:10:00+00:00,614.5
2021-05-03 21:20:00+00:00,613.5
2021-05-03 21:30:00+00:00,612.0
2021-05-03 21:40:00+00:00,600.0
2021-05-03 21:50:00+00:00,600.0
2021-05-03 22:00:00+00:00,600.0
2021-05-03 22:10:00+00:00,611.5
2021-05-03 22:20:00+00:00,612.0
2021-05-03 22:30:00+00:00,600.0
2021-05-03 22:40:00+00:00,612.0
2021-05-03 22:50:00+00:00,614.0
2021-05-03 23:00:00+00:00,626.0
2021-05-03 23:10:00+00:00,637.0
2021-05-03 23:20:00+00:00,612.0
2021-05-03 23:30:00+00:00,636.0
2021-05-03 23:40:00+00:00,637.5
2021-05-03 23:50:00+00:00,612.0
